file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,chuffed,wdeg_split,0,,0.008,8.000e-03,91,74,8,48,0,0.007,0.001
test_02,chuffed,wdeg_split,0,,0.007,7.000e-03,65,45,10,16,0,0.007,0.0
test_03,chuffed,wdeg_split,0,,0.008,8.000e-03,91,51,12,0,0,0.008,0.0
test_01,chuffed,ff_min,0,,0.007,7.000e-03,144,96,7,48,0,0.007,0.0
test_02,chuffed,ff_min,0,,0.007,7.000e-03,55,47,5,16,0,0.007,0.0
test_03,chuffed,ff_min,0,,0.008,8.000e-03,99,65,6,0,0,0.008,0.0
test_01,gecode,wdeg_split,0,,0.0009648,9.648e-04,255,80,9,48,0,0.0002588,0.000706
test_02,gecode,wdeg_split,0,,0.0005244,5.244e-04,115,42,8,16,0,0.0002482,0.0002762
test_03,gecode,wdeg_split,0,,0.000499,4.990e-04,147,74,9,0,0,0.0002894,0.0002096
test_01,gecode,ff_min,0,,0.0009583,9.583e-04,335,120,11,48,0,0.0002502,0.0007081
test_02,gecode,ff_min,0,,0.0005404,5.404e-04,147,58,8,16,0,0.0002606,0.0002798
test_03,gecode,ff_min,0,,0.0005024999999999999,5.025e-04,227,114,11,0,0,0.0002487,0.0002538
