file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,chuffed,wdeg_split,0,,0.024,2.400e-02,1055,273,13,,0,0.014,0.01
test_02,chuffed,wdeg_split,0,,0.003,3.000e-03,112,105,8,,0,0.001,0.002
test_03,chuffed,wdeg_split,0,,0.008,8.000e-03,645,526,9,,0,0.001,0.007
test_01,chuffed,ff_min,0,,0.018,1.800e-02,180,180,3,,0,0.014,0.004
test_02,chuffed,ff_min,0,,0.003,3.000e-03,157,157,3,,0,0.001,0.002
test_03,chuffed,ff_min,0,,0.004,4.000e-03,189,188,7,,0,0.001,0.003
test_01,gecode,wdeg_split,0,,0.0014377090000000001,1.438e-03,355,178,8,0,0,0.000604376,0.000833333
test_02,gecode,wdeg_split,0,,0.00277725,2.777e-03,1103,544,12,8,0,0.00113625,0.001641
test_03,gecode,wdeg_split,0,,0.00177425,1.774e-03,263,90,11,42,0,0.00076625,0.001008
test_01,gecode,ff_min,0,,0.074730116,7.473e-02,31331,15666,6,0,0,0.000627916,0.0741022
test_02,gecode,ff_min,0,,0.003031625,3.032e-03,1103,544,7,8,0,0.000884125,0.0021475
test_03,gecode,ff_min,0,,0.0031699499999999995,3.170e-03,429,173,8,42,0,0.00111412,0.00205583
