file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,chuffed,wdeg_split,0,,0.022,2.200e-02,1055,273,13,,0,0.014,0.008
test_02,chuffed,wdeg_split,0,,0.003,3.000e-03,83,77,8,,0,0.001,0.002
test_03,chuffed,wdeg_split,0,,0.008,8.000e-03,531,426,9,,0,0.001,0.007
test_01,chuffed,ff_min,0,,0.018,1.800e-02,180,180,3,,0,0.014,0.004
test_02,chuffed,ff_min,0,,0.003,3.000e-03,93,84,3,,0,0.001,0.002
test_03,chuffed,ff_min,0,,0.003,3.000e-03,147,145,6,,0,0.001,0.002
test_01,gecode,wdeg_split,0,,0.001633541,1.634e-03,355,178,8,0,0,0.000637666,0.000995875
test_02,gecode,wdeg_split,0,,0.004355621,4.356e-03,1019,506,12,4,0,0.000958541,0.00339708
test_03,gecode,wdeg_split,0,,0.001332459,1.332e-03,237,98,11,21,0,0.000486793,0.000845666
test_01,gecode,ff_min,0,,0.07061418300000001,7.061e-02,30981,15491,6,0,0,0.000605083,0.0700091
test_02,gecode,ff_min,0,,0.001864203,1.864e-03,1019,506,7,4,0,0.000386083,0.00147812
test_03,gecode,ff_min,0,,0.00159579,1.596e-03,395,177,7,21,0,0.00044925,0.00114654
