file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,gecode,ff_min,0,,0.000655,6.550e-04,29,15,4,0,0,0.0005534,0.0001016
test_02,gecode,ff_min,0,,0.1908398,1.908e-01,2733,1364,26,1,0,0.0010598,0.18978
test_03,gecode,ff_min,0,,4.8760387,4.876e+00,10533,5264,51,1,0,0.0036387,4.8724
test_01,gecode,inorder_min,0,,0.009833,9.833e-03,23,12,4,0,0,0.009122,0.000711
test_02,gecode,inorder_min,0,,0.10986169999999999,1.099e-01,367,182,4,1,0,0.0011017,0.10876
test_03,gecode,inorder_min,0,,2.7995025,2.800e+00,767,382,4,1,0,0.0032125,2.79629
test_01,gecode,inorder_split,0,,0.0006606,6.606e-04,19,10,4,0,0,0.0005814,7.92e-05
test_02,gecode,inorder_split,0,,0.0290772,2.908e-02,265,129,8,1,0,0.0010685,0.0280087
test_03,gecode,inorder_split,0,,0.40400010000000003,4.040e-01,568,280,9,1,0,0.0034541,0.400546
test_01,chuffed,ff_min,0,,0.009,9.000e-03,15,15,3,0,0,0.009,0.0
test_02,chuffed,ff_min,0,,0.271,2.710e-01,1412,1406,26,1,0,0.073,0.198
test_03,chuffed,ff_min,0,,3.577,3.577e+00,5362,5356,51,1,0,0.25,3.327
test_01,chuffed,inorder_min,0,,0.01,1.000e-02,12,12,2,0,0,0.009,0.001
test_02,chuffed,inorder_min,0,,0.246,2.460e-01,185,182,2,1,0,0.069,0.177
test_03,chuffed,inorder_min,0,,2.429,2.429e+00,385,382,2,1,0,0.239,2.19
test_01,chuffed,inorder_split,0,,0.014,1.400e-02,11,10,3,0,0,0.014,0.0
test_02,chuffed,inorder_split,0,,0.152,1.520e-01,142,130,7,1,0,0.068,0.084
test_03,chuffed,inorder_split,0,,1.569,1.569e+00,291,277,8,1,0,0.247,1.322
