file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,gecode,ff_min,0,,0.0016246,1.625e-03,7,4,3,0,0,0.0010821,0.0005425
test_02,gecode,ff_min,0,,0.0017633,1.763e-03,31,5,25,1,0,0.001361,0.0004023
test_03,gecode,ff_min,0,,0.0037045,3.704e-03,56,5,50,1,0,0.0028342,0.0008703
test_01,gecode,inorder_min,0,,0.0005673,5.673e-04,11,6,1,0,0,0.0004999,6.74e-05
test_02,gecode,inorder_min,0,,0.0023176,2.318e-03,94,46,1,1,0,0.0017523,0.0005653
test_03,gecode,inorder_min,0,,0.0043275,4.327e-03,194,96,1,1,0,0.0028072,0.0015203
test_01,gecode,inorder_split,0,,0.0007312999999999999,7.313e-04,7,4,2,0,0,0.000645,8.63e-05
test_02,gecode,inorder_split,0,,0.0014854,1.485e-03,46,22,5,1,0,0.0011651,0.0003203
test_03,gecode,inorder_split,0,,0.0042703,4.270e-03,96,47,6,1,0,0.0032035,0.0010668
test_01,chuffed,ff_min,0,,0.003,3.000e-03,4,4,3,0,0,0.003,0.0
test_02,chuffed,ff_min,0,,0.077,7.700e-02,78,8,25,1,0,0.075,0.002
test_03,chuffed,ff_min,0,,0.242,2.420e-01,166,8,50,1,0,0.237,0.005
test_01,chuffed,inorder_min,0,,0.002,2.000e-03,6,6,1,0,0,0.002,0.0
test_02,chuffed,inorder_min,0,,0.069,6.900e-02,48,46,1,1,0,0.067,0.002
test_03,chuffed,inorder_min,0,,0.237,2.370e-01,98,96,1,1,0,0.228,0.009
test_01,chuffed,inorder_split,0,,0.003,3.000e-03,4,4,1,0,0,0.003,0.0
test_02,chuffed,inorder_split,0,,0.064,6.400e-02,25,22,4,1,0,0.063,0.001
test_03,chuffed,inorder_split,0,,0.262,2.620e-01,53,47,5,1,0,0.254,0.008
