file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,chuffed,ff_min,0,,0.001,1.000e-03,5,3,2,,0,0.001,0.0
test_02,chuffed,ff_min,0,,0.007,7.000e-03,417,369,13,,0,0.0,0.007
test_03,chuffed,ff_min,0,,0.001,1.000e-03,28,22,6,,0,0.0,0.001
test_01,chuffed,wdeg_split,0,,0.001,1.000e-03,7,4,3,,0,0.0,0.001
test_02,chuffed,wdeg_split,0,,0.009,9.000e-03,498,459,14,,0,0.0,0.009
test_03,chuffed,wdeg_split,0,,0.007,7.000e-03,338,324,9,,0,0.0,0.007
test_01,chuffed,inorder_min,0,,0.001,1.000e-03,6,4,2,,0,0.0,0.001
test_02,chuffed,inorder_min,0,,0.011,1.100e-02,565,527,11,,0,0.0,0.011
test_03,chuffed,inorder_min,0,,0.006,6.000e-03,351,340,7,,0,0.0,0.006
test_01,gecode,ff_min,0,,0.00791145,7.911e-03,61,28,7,1,0,0.00511233,0.00279912
test_02,gecode,ff_min,0,,0.011501866999999999,1.150e-02,1964,979,17,1,0,0.000398167,0.0111037
test_03,gecode,ff_min,0,,0.006152415,6.152e-03,727,360,11,1,0,0.000392875,0.00575954
test_01,gecode,wdeg_split,0,,0.002535788,2.536e-03,41,19,7,1,0,0.000605708,0.00193008
test_02,gecode,wdeg_split,0,,0.00377975,3.780e-03,457,226,18,1,0,0.0003855,0.00339425
test_03,gecode,wdeg_split,0,,0.001853838,1.854e-03,151,72,11,1,0,0.000400458,0.00145338
test_01,gecode,inorder_min,0,,0.001917747,1.918e-03,131,65,7,1,0,0.000471667,0.00144608
test_02,gecode,inorder_min,0,,0.043292091,4.329e-02,7273,3633,20,1,0,0.000390291,0.0429018
test_03,gecode,inorder_min,0,,0.011722825,1.172e-02,1452,723,15,1,0,0.000391125,0.0113317
