file,solver,strategy,rc,status,time_raw,time,nodes,failures,peakDepth,solutions,restarts,initTime,solveTime
test_01,chuffed,ff_min,0,,0.002,2.000e-03,5,3,2,,0,0.002,0.0
test_02,chuffed,ff_min,0,,0.008,8.000e-03,418,367,13,,0,0.001,0.007
test_03,chuffed,ff_min,0,,0.001,1.000e-03,28,22,6,,0,0.001,0.0
test_01,chuffed,wdeg_split,0,,0.001,1.000e-03,7,4,3,,0,0.001,0.0
test_02,chuffed,wdeg_split,0,,0.012,1.200e-02,550,496,14,,0,0.001,0.011
test_03,chuffed,wdeg_split,0,,0.012,1.200e-02,337,324,9,,0,0.001,0.011
test_01,chuffed,inorder_min,0,,0.001,1.000e-03,6,4,2,,0,0.001,0.0
test_02,chuffed,inorder_min,0,,0.012,1.200e-02,567,537,11,,0,0.001,0.011
test_03,chuffed,inorder_min,0,,0.007,7.000e-03,352,341,7,,0,0.001,0.006
test_01,gecode,ff_min,0,,0.00976146,9.761e-03,61,28,7,1,0,0.00668854,0.00307292
test_02,gecode,ff_min,0,,0.01358691,1.359e-02,1964,979,17,1,0,0.00108271,0.0125042
test_03,gecode,ff_min,0,,0.007256963,7.257e-03,727,360,11,1,0,0.000514583,0.00674238
test_01,gecode,wdeg_split,0,,0.001065458,1.065e-03,43,20,8,1,0,0.000512416,0.000553042
test_02,gecode,wdeg_split,0,,0.007072626,7.073e-03,703,349,21,1,0,0.000588916,0.00648371
test_03,gecode,wdeg_split,0,,0.002803836,2.804e-03,218,107,11,1,0,0.000515666,0.00228817
test_01,gecode,inorder_min,0,,0.0019373390000000002,1.937e-03,131,65,7,1,0,0.000506709,0.00143063
test_02,gecode,inorder_min,0,,0.049393459,4.939e-02,7273,3633,20,1,0,0.000515959,0.0488775
test_03,gecode,inorder_min,0,,0.013077575,1.308e-02,1452,723,15,1,0,0.000516875,0.0125607
